類・品目,総合,財,生鮮食品を除く財,農水畜産物,生鮮商品,他の農水畜産物,米類,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,持家の帰属家賃を除くサービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
Group/Item,All items,Goods,"Goods, less fresh food","Agricultural, aquatic & livestock products","Fresh food, raw meats & cut flowers","Other agricultural, aquatic & livestock products",Rice,Industrial products,Food products,Textiles,Petroleum products,Other industrial products,"Electricity, manufactured & piped gas & water charges",Publications,Services,"Services, less imputed rent",Public services,Meals outside the home,"House rent, public, Urban Renaissance Agency & public corporation",Services related to domestic duties,Services related to medical care & welfare,Services related to forwarding & communication,Services related to education,Services related to culture & recreation,General services,Meals outside the home,"House rent, private","House rent, private (wooden)","House rent, private (non-wooden)",Imputed rent,Imputed rent (wooden),Imputed rent (non-wooden),Other services,Services related to domestic duties,Services related to medical care & welfare,Services related to education,"Services related to communication, culture & recreation",Durable goods,Semi-durable goods,Non-durable goods,Public utilities charges
類・品目符号(Group/Item code),0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
含類総連番(Serial number),801,802,836,803,804,805,831,806,807,808,809,810,811,812,813,837,814,815,816,817,818,819,820,821,822,823,824,838,839,825,840,841,826,827,828,829,830,832,833,834,835
ウエイト(Weight),3543757090,1784525160,1650272398,262830115,227087988,35742127,35742127,1294287490,555407694,105720530,100320723,532838543,195102831,32304724,1759231930,1180160310,382284967,6069272,3442595,162245321,100902509,80217267,5446675,23961328,1376946963,173952365,76922872,,,579071620,,,547000106,173474194,12668017,102557900,258299995,239912446,219406737,1325205977,591827132
ウエイト１万分比(Weight per 10000),10000,5036,4657,742,641,101,101,3652,1567,298,283,1504,551,91,4964,3330,1079,17,10,458,285,226,15,68,3886,491,217,,,1634,,,1544,490,36,289,729,677,619,3740,1670
197001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197002,0.5,0.3,0.1,1.5,2.0,0.3,0.3,-0.1,0.1,-0.8,0.5,0.2,0.0,0.3,0.9,1.1,2.6,,0.3,0.4,9.7,0.3,0.0,0.0,0.4,0.2,0.4,,,0.5,,,0.3,0.5,,0.0,0.0,0.0,,,1.4
197003,0.8,1.0,0.1,2.9,3.8,0.3,0.1,0.4,0.2,0.5,0.2,0.3,0.1,-0.3,0.4,0.4,0.4,,0.1,0.2,0.0,0.3,0.0,0.0,0.9,0.6,0.6,,,0.7,,,0.3,1.0,,0.0,0.0,0.0,,,0.0
197004,0.9,0.7,0.5,0.6,0.7,0.0,0.0,0.7,0.8,1.4,0.5,0.3,0.2,0.3,1.4,1.6,0.3,,1.2,0.2,0.0,0.0,1.4,0.0,1.7,1.0,0.7,,,0.9,,,3.2,1.4,,5.2,2.0,0.3,,,0.0
197005,-0.4,-0.9,0.4,-4.4,-6.1,0.3,0.1,0.6,0.5,1.5,-0.2,0.2,-0.3,-0.1,0.5,0.4,0.1,,0.2,0.2,0.0,0.3,0.0,0.0,0.4,0.9,1.0,,,0.9,,,0.4,0.9,,0.0,0.4,0.0,,,0.0
197006,0.0,-0.2,0.2,-1.9,-2.6,0.0,0.1,0.3,0.3,0.3,-0.2,0.0,0.0,0.6,0.4,0.4,0.1,,0.1,0.4,0.0,0.0,0.0,0.0,0.8,0.6,0.9,,,0.8,,,0.3,0.5,,0.0,0.0,-0.2,,,0.3
197007,-0.1,-0.3,0.0,-1.8,-2.4,0.0,0.1,0.4,0.5,1.1,0.2,-0.2,0.1,-0.7,0.2,0.2,0.4,,0.1,-5.3,1.0,0.0,0.0,0.0,0.0,0.7,0.6,,,0.8,,,-0.3,0.9,,0.0,0.0,-0.3,,,0.3
197008,-0.2,-0.6,-0.1,-2.5,-3.3,0.0,0.0,0.0,0.6,-1.8,0.2,0.3,0.0,0.6,0.3,0.2,-0.1,,0.5,0.2,-0.7,0.3,0.0,0.0,0.8,0.4,1.0,,,0.8,,,0.2,0.5,,0.0,0.0,0.2,,,0.0
197009,1.6,2.2,1.3,5.0,6.8,0.0,0.1,1.5,1.0,4.5,0.7,0.3,0.0,-0.3,0.5,0.5,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.6,,,0.5,,,1.1,0.9,,0.0,1.2,0.3,,,0.0
197010,1.6,2.0,1.2,4.8,6.6,0.0,0.0,1.1,1.4,2.0,1.7,0.2,0.0,-0.1,0.9,1.1,1.4,,4.5,0.4,0.0,3.9,0.0,0.0,0.8,1.6,0.3,,,0.4,,,0.7,1.4,,0.0,0.0,-0.4,,,0.6
197011,0.1,0.0,0.8,-2.5,-3.4,0.3,0.1,0.8,1.1,0.6,1.0,0.3,0.0,3.5,0.4,0.5,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,0.4,1.4,0.5,,,0.4,,,0.4,1.4,,0.0,0.0,0.0,,,0.0
197012,0.7,0.6,0.9,0.8,0.7,0.0,0.0,0.5,0.9,0.5,0.5,-0.2,0.0,1.5,0.6,0.7,0.2,,0.5,0.2,0.0,0.3,0.0,0.0,0.8,1.5,0.7,,,0.7,,,0.7,1.3,,0.0,0.0,-0.4,,,0.0
197101,0.8,0.8,0.2,2.6,3.6,0.0,0.1,0.3,0.6,-0.1,0.0,0.2,0.1,-0.6,0.6,0.7,0.3,,0.9,0.4,0.0,0.3,0.0,0.0,0.8,1.4,0.6,,,0.6,,,0.7,0.9,,0.0,35.2,-0.2,,,0.0
197102,0.1,0.0,0.0,-0.6,-0.8,0.0,0.0,-0.1,0.6,-2.2,0.5,0.2,0.0,4.2,0.5,0.4,0.1,,0.2,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.7,,,0.7,,,0.3,0.4,,0.0,0.0,-0.3,,,0.3
197103,0.1,-0.1,0.4,-1.1,-1.2,0.0,0.1,0.4,0.3,0.7,0.9,0.2,0.0,-0.1,0.2,0.2,-0.1,,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,,,0.6,,,0.3,0.9,,0.0,0.0,0.0,,,0.0
