series_code,name_en,name_ja,serial_number,weight_per_10000,weight_raw,first_period,last_period,observations,missing_periods,source_file_id,base_year
0201,All items,総合,801,10000,3543757090,1971,2025,55,1,000040482836,2025
0202,Goods,財,802,5036,1784525160,1971,2025,55,1,000040482836,2025
0241,"Goods, less fresh food",生鮮食品を除く財,836,4657,1650272398,1971,2025,55,1,000040482836,2025
0203,"Agricultural, aquatic & livestock products",農水畜産物,803,742,262830115,1971,2025,55,1,000040482836,2025
0204,"Fresh food, raw meats & cut flowers",生鮮商品,804,641,227087988,1971,2025,55,1,000040482836,2025
0205,"Other agricultural, aquatic & livestock products",他の農水畜産物,805,101,35742127,1971,2025,55,1,000040482836,2025
0206,Rice,米類,831,101,35742127,1971,2025,55,1,000040482836,2025
0207,Industrial products,工業製品,806,3652,1294287490,1971,2025,55,1,000040482836,2025
0208,Food products,食料工業製品,807,1567,555407694,1971,2025,55,1,000040482836,2025
0211,Textiles,繊維製品,808,298,105720530,1971,2025,55,1,000040482836,2025
0214,Petroleum products,石油製品,809,283,100320723,1971,2025,55,1,000040482836,2025
0215,Other industrial products,他の工業製品,810,1504,532838543,1971,2025,55,1,000040482836,2025
0218,"Electricity, manufactured & piped gas & water charges",電気・都市ガス・水道,811,551,195102831,1971,2025,55,1,000040482836,2025
0219,Publications,出版物,812,91,32304724,1971,2025,55,1,000040482836,2025
0220,Services,サービス,813,4964,1759231930,1971,2025,55,1,000040482836,2025
0242,"Services, less imputed rent",持家の帰属家賃を除くサービス,837,3330,1180160310,1971,2025,55,1,000040482836,2025
0221,Public services,公共サービス,814,1079,382284967,1971,2025,55,1,000040482836,2025
0243,Meals outside the home,外食,815,17,6069272,2016,2025,10,46,000040482836,2025
0222,"House rent, public, Urban Renaissance Agency & public corporation",公営・都市再生機構・公社家賃,816,10,3442595,1971,2025,55,1,000040482836,2025
0223,Services related to domestic duties,家事関連サービス,817,458,162245321,1971,2025,55,1,000040482836,2025
0224,Services related to medical care & welfare,医療・福祉関連サービス,818,285,100902509,1971,2025,55,1,000040482836,2025
0225,Services related to forwarding & communication,運輸・通信関連サービス,819,226,80217267,1971,2025,55,1,000040482836,2025
0226,Services related to education,教育関連サービス,820,15,5446675,1971,2025,55,1,000040482836,2025
0227,Services related to culture & recreation,教養娯楽関連サービス,821,68,23961328,1971,2025,55,1,000040482836,2025
0228,General services,一般サービス,822,3886,1376946963,1971,2025,55,1,000040482836,2025
0229,Meals outside the home,外食,823,491,173952365,1971,2025,55,1,000040482836,2025
0230,"House rent, private",民営家賃,824,217,76922872,1971,2025,55,1,000040482836,2025
0245,"House rent, private (wooden)",民営家賃（木造）,838,,,2011,2025,15,41,000040482836,2025
0246,"House rent, private (non-wooden)",民営家賃（非木造）,839,,,2011,2025,15,41,000040482836,2025
0231,Imputed rent,持家の帰属家賃,825,1634,579071620,1971,2025,55,1,000040482836,2025
0247,Imputed rent (wooden),持家の帰属家賃（木造）,840,,,2011,2025,15,41,000040482836,2025
0248,Imputed rent (non-wooden),持家の帰属家賃（非木造）,841,,,2011,2025,15,41,000040482836,2025
0232,Other services,他のサービス,826,1544,547000106,1971,2025,55,1,000040482836,2025
0233,Services related to domestic duties,家事関連サービス,827,490,173474194,1971,2025,55,1,000040482836,2025
0234,Services related to medical care & welfare,医療・福祉関連サービス,828,36,12668017,1976,2025,50,6,000040482836,2025
0235,Services related to education,教育関連サービス,829,289,102557900,1971,2025,55,1,000040482836,2025
0236,"Services related to communication, culture & recreation",通信・教養娯楽関連サービス,830,729,258299995,1971,2025,55,1,000040482836,2025
0237,Durable goods,耐久消費財,832,677,239912446,1971,2025,55,1,000040482836,2025
0238,Semi-durable goods,半耐久消費財,833,619,219406737,1981,2025,45,11,000040482836,2025
0239,Non-durable goods,非耐久消費財,834,3740,1325205977,1981,2025,45,11,000040482836,2025
0240,Public utilities charges,公共料金,835,1670,591827132,1971,2025,55,1,000040482836,2025
